corpus,corpus_year,query_source,query_year,query,query_topicID,best_match,best_match_score,best_match_topicID
Medium,2019,Academic,2012,"['treatment', 'therapy', 'cognitive', 'cbt', 'outcome', 'behavioral', 'anxiety', 'reduction', 'session', 'significant']",12,"['therapy', 'mood', 'cancer', 'effective', 'vitamin', 'patient', 'light', 'function', 'direct', 'regulate']",0.771016716957092,13
Medium,2015,Academic,2012,"['physiological', 'report', 'social', 'cue', 'anxiety', 'include', 'student', 'study', 'participant', 'approach']",13,"['student', 'pitch', 'mental_health', 'healthtap', 'session', 'business', 'ceo', 'patient', 'university', 'pressure']",0.761296272277832,29
Medium,2016,Academic,2012,"['adolescent', 'influence', 'distress', 'factor', 'vary', 'issue', 'experience', 'problem', 'developmental', 'difficulty']",14,"['school', 'kid', 'adult', 'teacher', 'teen', 'contact', 'adolescent', 'exciting', 'complicated', 'child']",0.710575342178345,25
Medium,2018,Academic,2012,"['minority', 'longer', 'impairment', 'injury', 'patient', 'home', 'preliminary', 'self', 'treat', 'year']",15,"['meditation', 'practice', 'app', 'meditate', 'calm', 'minute', 'creativity', 'daily', 'peace', 'routine']",0.683197319507599,14
Medium,2018,Academic,2012,"['self', 'social', 'symptom', 'report', 'predict', 'daily', 'anxiety', 'processing', 'predictor', 'subsequent']",16,"['symptom', 'social', 'disorder', 'treatment', 'diagnose', 'patient', 'physical', 'medical', 'condition', 'therapy']",0.706903278827667,20
Medium,2017,Academic,2012,"['occur', 'survivor', 'become', 'intrusion', 'effect', 'researcher', 'vulnerable', 'people', 'allocation', 'victim']",17,"['recovery', 'recover', 'magic', 'knee', 'red', 'scar', 'land', 'noise', 'third', 'hole']",0.60676109790802,8
Medium,2018,Academic,2012,"['fear', 'sad', 'memory', 'social', 'previous', 'replicate', 'role', 'may', 'effect', 'interaction']",18,"['response', 'system', 'fight', 'release', 'event', 'training', 'threat', 'program', 'boss', 'respond']",0.713410139083862,37
Medium,2015,Academic,2012,"['factor', 'model', 'domain', 'structure', 'depression', 'dimension', 'hierarchical', 'anxiety', 'sample', 'fit']",19,"['condition', 'symptom', 'perspective', 'irrational', 'intrusive_thought', 'sex', 'physical', 'result', 'sufferer', 'behaviour']",0.662165522575378,0
Medium,2018,Academic,2012,"['conflict', 'counselling', 'ongoing', 'psychosocial', 'pretreatment', 'help_seeking', 'typically', 'routine', 'pharmacological', 'reference']",20,"['symptom', 'social', 'disorder', 'treatment', 'diagnose', 'patient', 'physical', 'medical', 'condition', 'therapy']",0.704192042350769,20
Medium,2014,Academic,2012,"['interpretation', 'training', 'global', 'cognitive', 'error', 'equal', 'outcome', 'design', 'interpret', 'objective']",21,"['memory', 'result', 'search', 'outcome', 'intention', 'late', 'assumption', 'example', 'subconscious', 'performance']",0.743537545204163,29
Medium,2018,Academic,2012,"['language', 'dsm_iv', 'asylum', 'traumatic', 'proficiency', 'arrive', 'mini', 'arrival', 'screening', 'postmigration']",22,"['response', 'system', 'fight', 'release', 'event', 'training', 'threat', 'program', 'boss', 'respond']",0.648597061634064,37
Medium,2015,Academic,2012,"['preventive', 'cidi', 'screening', 'participation', 'threshold', 'refrain', 'scope', 'prevent', 'screen', 'assess']",23,"['condition', 'symptom', 'perspective', 'irrational', 'intrusive_thought', 'sex', 'physical', 'result', 'sufferer', 'behaviour']",0.62393045425415,0
Medium,2018,Academic,2012,"['anxiety', 'guide', 'find', 'face', 'scale', 'sample', 'generalize', 'largely', 'help', 'had']",24,"['solution', 'drug', 'diagnosis', 'user', 'state', 'address', 'treat', 'human', 'system', 'significant']",0.692132413387299,38
Medium,2016,Academic,2012,"['disorder', 'anxiety', 'study', 'depression', 'year', 'associate', 'use', 'association', 'examine', 'sample']",25,"['disorder', 'symptom', 'treatment', 'study', 'level', 'health', 'social', 'response', 'suffer', 'avoid']",0.823895454406738,37
Medium,2019,Academic,2012,"['cd', 'behavior', 'context', 'problem', 'people', 'aggressive', 'content', 'code', 'individually', 'harm']",26,"['mental_health', 'relationship', 'support', 'result', 'challenge', 'individual', 'provide', 'example', 'low', 'healthy']",0.642227530479431,19
Medium,2017,Academic,2012,"['generalize', 'bipolar', 'anxiety', 'training', 'youth', 'attend', 'result', 'differ', 'right', 'attentional']",27,"['mental_health', 'health', 'medication', 'issue', 'support', 'mental_illness', 'illness', 'drug', 'mental', 'seek']",0.691103100776672,23
Medium,2016,Academic,2012,"['anxiety', 'measure', 'low', 'class', 'high', 'depression', 'distress', 'group', 'level', 'account']",28,"['high', 'treat', 'human', 'relationship', 'test', 'normal', 'act', 'task', 'pressure', 'sleep']",0.709547281265259,34
Medium,2013,Academic,2012,"['risk', 'early', 'intervention', 'moderator', 'prevention', 'profile', 'strengthen', 'specificity', 'minimal', 'indicate']",29,"['age', 'difficult', 'client', 'elder', 'attempt', 'guilt', 'anger', 'scream', 'plan', 'value']",0.676750838756561,8
Medium,2016,Academic,2012,"['treatment', 'intervention', 'group', 'participant', 'condition', 'anxiety', 'depression', 'health', 'co_morbidity', 'mental']",30,"['mental_health', 'medication', 'doctor', 'issue', 'drug', 'support', 'therapy', 'suffer', 'mental_illness', 'health']",0.811491131782532,0
Medium,2014,Academic,2012,"['treatment', 'change', 'decrease', 'outcome', 'mediate', 'may', 'anxiety', 'suggest', 'reduce', 'examine']",31,"['symptom', 'intake', 'reduce', 'sugar', 'nutrition', 'overall', 'reduction', 'increase', 'diet', 'improve']",0.741080164909363,14
Medium,2018,Academic,2012,"['single', 'nucleus', 'rat', 'apoptosis', 'neuron', 'peak', 'reduce', 'tem', 'pon', 'prolonged']",32,"['emotion', 'pain', 'emotional', 'suffer', 'hurt', 'soul', 'heal', 'physical', 'relationship', 'push']",0.650413453578949,27
Medium,2020,Academic,2012,"['anxiety', 'negative', 'sensitivity', 'belief', 'disorder', 'relate', 'finding', 'support', 'result', 'control']",33,"['negative', 'positive', 'energy', 'peace', 'thinking', 'awareness', 'relax', 'attention', 'listen', 'physical']",0.78248518705368,3
Medium,2016,Academic,2012,"['depression', 'treatment', 'internationally', 'problem', 'trial', 'health', 'model', 'study', 'life', 'anxiety']",34,"['mental_health', 'medication', 'doctor', 'issue', 'drug', 'support', 'therapy', 'suffer', 'mental_illness', 'health']",0.742556750774383,0
Medium,2019,Academic,2012,"['woman', 'chinese', 'pregnancy', 'risk', 'depression', 'factor', 'assess', 'symptomatology', 'predictive', 'survivor']",35,"['mental_health', 'relationship', 'support', 'result', 'challenge', 'individual', 'provide', 'example', 'low', 'healthy']",0.636109709739685,19
Medium,2018,Academic,2012,"['child', 'anxiety', 'disorder', 'parent', 'non', 'anxious', 'early', 'symptom', 'likely', 'information']",36,"['child', 'parent', 'social_media', 'young', 'teen', 'adult', 'school', 'age', 'technology', 'resource']",0.733892858028412,28
Medium,2018,Academic,2012,"['symptom', 'patient', 'depression', 'somatic', 'fatigue', 'life', 'trial', 'show', 'internet', 'severe']",37,"['symptom', 'social', 'disorder', 'treatment', 'diagnose', 'patient', 'physical', 'medical', 'condition', 'therapy']",0.852355480194092,20
Medium,2018,Academic,2013,"['year', 'age', 'gad', 'predict', 'risk', 'increase', 'follow', 'level', 'youth', 'sample']",0,"['goal', 'business', 'plan', 'money', 'energy', 'success', 'achieve', 'guilt', 'fail', 'failure']",0.619671642780304,21
Medium,2020,Academic,2013,"['psychosis', 'maternal', 'vulnerability', 'characterize', 'mother', 'trajectory', 'affective', 'sample', 'together', 'schizophrenia']",1,"['psychological', 'journal', 'interaction', 'belief', 'clinical', 'analyze', 'transform', 'subconscious', 'perception', 'psychology']",0.701548278331757,12
Medium,2016,Academic,2013,"['change', 'self', 'participant', 'cognitive', 'panic', 'sensitivity', 'mediate', 'effect', 'level', 'process']",2,"['emotion', 'negative', 'future', 'positive', 'allow', 'create', 'thinking', 'action', 'anger', 'choice']",0.674164831638336,6
Medium,2019,Academic,2013,"['exposure', 'attention', 'fear', 'subject', 'measure', 'face', 'control', 'task', 'attentional', 'behavioral']",3,"['wait', 'illusion', 'odd', 'fat', 'silence', 'silent', 'depress', 'weigh', 'comfort', 'crush']",0.644541323184967,8
Medium,2018,Academic,2013,"['child', 'parent', 'clinic', 'behavior', 'word', 'eat', 'report', 'behavioral', 'change', 'emotional']",4,"['child', 'parent', 'social_media', 'young', 'teen', 'adult', 'school', 'age', 'technology', 'resource']",0.775528848171234,28
Medium,2020,Academic,2013,"['social', 'negative', 'relationship', 'activation', 'individual', 'show', 'positive', 'factor', 'emotional', 'examine']",5,"['negative', 'positive', 'energy', 'peace', 'thinking', 'awareness', 'relax', 'attention', 'listen', 'physical']",0.750416457653046,3
Medium,2017,Academic,2013,"['ptsd', 'schizophrenia', 'severity', 'control', 'had', 'stressor', 'generalize', 'problem', 'link', 'mental']",6,"['mental_health', 'health', 'medication', 'issue', 'support', 'mental_illness', 'illness', 'drug', 'mental', 'seek']",0.698516011238098,23
Medium,2016,Academic,2013,"['health', 'depressive', 'depression', 'care', 'individual', 'primary', 'psychological', 'increase', 'performance', 'base']",7,"['mental_health', 'medication', 'doctor', 'issue', 'drug', 'support', 'therapy', 'suffer', 'mental_illness', 'health']",0.806071162223816,0
Medium,2017,Academic,2013,"['phobia', 'life_event', 'depression', 'emerge', 'antidepressant', 'duration', 'development', 'early', 'drive', 'use']",8,"['mental_health', 'health', 'medication', 'issue', 'support', 'mental_illness', 'illness', 'drug', 'mental', 'seek']",0.709107577800751,23
Medium,2015,Academic,2013,"['prevalence', 'cidi', 'factor', 'survey', 'class', 'difference', 'drug', 'immigrant', 'gender', 'world']",9,"['condition', 'symptom', 'perspective', 'irrational', 'intrusive_thought', 'sex', 'physical', 'result', 'sufferer', 'behaviour']",0.624670505523682,0
Medium,2018,Academic,2013,"['patient', 'distress', 'mood', 'cognitive', 'factor', 'internalize', 'score', 'use', 'alcohol_dependence', 'ad']",10,"['mental', 'mental_health', 'mental_illness', 'recovery', 'alcohol', 'illness', 'stigma', 'management', 'issue', 'health']",0.750592887401581,13
Medium,2018,Academic,2013,"['posttreatment', 'sad', 'goal', 'mortality', 'withdrawal', 'cost', 'behavior', 'direct', 'respond', 'decrease']",11,"['solution', 'drug', 'diagnosis', 'user', 'state', 'address', 'treat', 'human', 'system', 'significant']",0.732854723930359,38
Medium,2019,Academic,2013,"['cbt', 'therapy', 'cognitive', 'outcome', 'follow', 'patient', 'trial', 'effect', 'group', 'week']",12,"['therapy', 'mood', 'cancer', 'effective', 'vitamin', 'patient', 'light', 'function', 'direct', 'regulate']",0.751062572002411,13
Medium,2015,Academic,2013,"['group', 'alcohol', 'cbt', 'comorbid', 'alone', 'relaxation', 'decrease', 'comparison', 'management', 'trial']",13,"['group', 'receptor', 'gene', 'study', 'response', 'dna', 'silence', 'epigenetic', 'anger', 'individual']",0.663264334201813,28
Medium,2018,Academic,2013,"['intervention', 'group', 'base', 'social', 'mindfulness', 'participant', 'internet', 'therapy', 'trial', 'month_follow']",14,"['therapy', 'therapist', 'partner', 'issue', 'episode', 'chronic', 'psychiatrist', 'admit', 'date', 'relationship']",0.71254950761795,8
Medium,2016,Academic,2013,"['stress', 'depression', 'participant', 'control', 'self', 'program', 'function', 'group', 'response', 'risk']",15,"['high', 'treat', 'human', 'relationship', 'test', 'normal', 'act', 'task', 'pressure', 'sleep']",0.746512413024902,34
Medium,2017,Academic,2013,"['depression', 'association', 'depressive', 'psychotic', 'mental', 'psychiatric', 'ci', 'structure', 'childhood', 'health']",16,"['mental_health', 'health', 'medication', 'issue', 'support', 'mental_illness', 'illness', 'drug', 'mental', 'seek']",0.730380952358246,23
Medium,2019,Academic,2013,"['broad', 'content', 'training', 'barrier', 'child', 'clinical', 'follow', 'outcome', 'intervention', 'demonstrate']",17,"['meditation', 'practice', 'emotion', 'tool', 'meditate', 'emotional', 'horse', 'technique', 'list', 'habit']",0.688094198703766,4
Medium,2016,Academic,2014,"['child', 'adolescent', 'parent', 'internalize', 'anxious', 'report', 'non', 'year', 'outcome', 'youth']",0,"['school', 'kid', 'adult', 'teacher', 'teen', 'contact', 'adolescent', 'exciting', 'complicated', 'child']",0.790812134742737,25
Medium,2014,Academic,2014,"['international', 'use', 'dimension', 'woman', 'recent', 'obtain', 'confidence_interval', 'marker', 'continue', 'propose']",1,"['memory', 'late', 'confidence', 'audience', 'check', 'result', 'perhaps', 'likely', 'angry', 'music']",0.708152413368225,9
Medium,2018,Academic,2014,"['onset', 'age', 'early', 'symptom', 'patient', 'year', 'adhd', 'increase', 'associate', 'high']",2,"['symptom', 'social', 'disorder', 'treatment', 'diagnose', 'patient', 'physical', 'medical', 'condition', 'therapy']",0.740020155906677,20
Medium,2020,Academic,2014,"['cbt', 'therapy', 'outcome', 'cognitive', 'behavioral', 'group', 'therapist', 'psychological', 'measure', 'predict']",3,"['psychological', 'journal', 'interaction', 'belief', 'clinical', 'analyze', 'transform', 'subconscious', 'perception', 'psychology']",0.729467928409576,12
Medium,2015,Academic,2014,"['factor', 'change', 'effect', 'symptom', 'panic', 'association', 'model', 'participant', 'control', 'show']",4,"['condition', 'symptom', 'perspective', 'irrational', 'intrusive_thought', 'sex', 'physical', 'result', 'sufferer', 'behaviour']",0.608756363391876,0
Medium,2018,Academic,2014,"['vulnerable', 'negative', 'positive', 'event', 'mdd', 'involve', 'group', 'dynamic', 'resilience', 'life']",5,"['negative', 'positive', 'present', 'mindfulness', 'pattern', 'future', 'skill', 'example', 'outcome', 'build']",0.671048700809479,19
Medium,2017,Academic,2014,"['eat', 'safety', 'global', 'disease', 'behavior', 'remission', 'weekly', 'medication', 'combination', 'cognition']",6,"['eat', 'food', 'com', 'ok', 'healthy', 'unhealthy', 'mental', 'final', 'city', 'consume']",0.754152476787567,19
Medium,2020,Academic,2014,"['ocd', 'obsessive_compulsive', 'intervention', 'single', 'patient', 'research', 'rate', 'behaviour', 'frequency', 'usual']",7,"['psychological', 'journal', 'interaction', 'belief', 'clinical', 'analyze', 'transform', 'subconscious', 'perception', 'psychology']",0.643421351909637,12
Medium,2016,Academic,2014,"['stress', 'acceptance', 'act', 'trials_rct', 'equally', 'commitment', 'effect_size', 'review', 'methodological', 'comparison']",8,"['high', 'treat', 'human', 'relationship', 'test', 'normal', 'act', 'task', 'pressure', 'sleep']",0.728528618812561,34
Medium,2019,Academic,2014,"['background', 'worsen', 'population', 'suicide', 'risk', 'substance', 'alcohol', 'high', 'female', 'level']",9,"['drown', 'clarity', 'era', 'pool', 'water', 'sea', 'burden', 'ocean', 'deadline', 'meet']",0.594231188297272,25
Medium,2018,Academic,2014,"['symptom', 'health', 'mental', 'depressive', 'mdd', 'gad', 'intervention', 'examine', 'common', 'concern']",10,"['symptom', 'social', 'disorder', 'treatment', 'diagnose', 'patient', 'physical', 'medical', 'condition', 'therapy']",0.846806228160858,20
Medium,2012,Academic,2014,"['sad', 'social', 'psychopathology', 'symptom', 'individual', 'avoidance', 'relationship', 'behavior', 'panic', 'specific']",11,"['emotional', 'symptom', 'physical', 'controlar', 'ansiedad', 'aqui', 'nervousness', 'spend', 'fearful', 'kind']",0.762637317180633,4
Medium,2018,Academic,2014,"['late', 'cut', 'cut_score', 'subtype', 'interpret', 'generally', 'differentiate', 'picture', 'arbitrarily', 'inconsistent']",12,"['game', 'play', 'addiction', 'mistake', 'ultimately', 'tendency', 'object', 'pressure', 'grade', 'successful']",0.58692866563797,22
Medium,2018,Academic,2014,"['depression', 'month', 'smoker', 'less', 'health', 'least', 'ci', 'prevalence', 'mental', 'symptom']",13,"['mental', 'mental_health', 'mental_illness', 'recovery', 'alcohol', 'illness', 'stigma', 'management', 'issue', 'health']",0.719034492969513,13
Medium,2016,Academic,2014,"['subthreshold', 'function', 'exposure', 'gad', 'associate', 'syndrome', 'form', 'clinical', 'course', 'development']",14,"['high', 'treat', 'human', 'relationship', 'test', 'normal', 'act', 'task', 'pressure', 'sleep']",0.664064288139343,34
Medium,2020,Academic,2014,"['group', 'post', 'participant', 'depression', 'icbt', 'internet', 'effectiveness', 'effective', 'compare', 'base']",15,"['social', 'support', 'group', 'uncertainty', 'individual', 'resource', 'society', 'result', 'seek', 'country']",0.722244322299957,13
Medium,2018,Academic,2014,"['patient', 'depressive', 'confound', 'background', 'change', 'impairment', 'international', 'major', 'brain', 'latent']",16,"['solution', 'drug', 'diagnosis', 'user', 'state', 'address', 'treat', 'human', 'system', 'significant']",0.675485014915466,38
Medium,2016,Academic,2014,"['social', 'fear', 'exposure', 'ptsd', 'condition', 'sleep', 'response', 'relate', 'extinction', 'individual']",17,"['high', 'treat', 'human', 'relationship', 'test', 'normal', 'act', 'task', 'pressure', 'sleep']",0.69307553768158,34
Medium,2018,Academic,2015,"['health', 'alcohol', 'factor', 'man', 'dependence', 'psychiatric', 'woman', 'substance', 'bmi', 'score']",0,"['mental', 'mental_health', 'mental_illness', 'recovery', 'alcohol', 'illness', 'stigma', 'management', 'issue', 'health']",0.74550461769104,13
Medium,2018,Academic,2015,"['depression', 'age', 'method', 'conclusion', 'depressive', 'adult', 'sample', 'childhood', 'psychiatric', 'year']",1,"['symptom', 'social', 'disorder', 'treatment', 'diagnose', 'patient', 'physical', 'medical', 'condition', 'therapy']",0.69211608171463,20
Medium,2019,Academic,2015,"['therapy', 'patient', 'cbt', 'outcome', 'primary', 'trial', 'care', 'group', 'cognitive', 'intervention']",2,"['therapy', 'mood', 'cancer', 'effective', 'vitamin', 'patient', 'light', 'function', 'direct', 'regulate']",0.818298161029816,13
Medium,2016,Academic,2015,"['ptsd', 'trauma', 'gad', 'worry', 'negative', 'tool', 'clinical', 'sample', 'utility', 'psycinfo_database']",3,"['grief', 'ptsd', 'gad', 'die', 'gut', 'prescribe', 'trauma', 'alternative', 'irrational', 'diagnosis']",0.786254465579987,40
Medium,2015,Academic,2015,"['woman', 'pregnancy', 'mood', 'week', 'bpd', 'prenatal', 'postpartum', 'estimate', 'gestation', 'first']",4,"['doctor', 'father', 'visit', 'baby', 'cry', 'dad', 'condition', 'mom', 'note', 'patient']",0.678812325000763,4
Medium,2019,Academic,2015,"['risk', 'mdd', 'mental', 'psychotic', 'year', 'factor', 'severe', 'first', 'onset', 'individual']",5,"['mental_health', 'relationship', 'support', 'result', 'challenge', 'individual', 'provide', 'example', 'low', 'healthy']",0.677194595336914,19
Medium,2015,Academic,2015,"['group', 'clinical', 'cost_effective', 'control', 'include', 'article', 'evidence', 'cost_effectiveness', 'therapy', 'paper']",6,"['group', 'receptor', 'gene', 'study', 'response', 'dna', 'silence', 'epigenetic', 'anger', 'individual']",0.685405433177948,28
Medium,2018,Academic,2015,"['risk', 'maternal', 'depression', 'factor', 'association', 'significantly', 'relative', 'mother', 'base', 'early']",7,"['leg', 'belong', 'float', 'birth', 'useless', 'shake', 'teen', 'sad', 'sentence', 'return']",0.629292666912079,30
Medium,2020,Academic,2015,"['social', 'sad', 'change', 'personality', 'control', 'participant', 'group', 'perceive', 'stroke', 'task']",8,"['social', 'support', 'group', 'uncertainty', 'individual', 'resource', 'society', 'result', 'seek', 'country']",0.72605562210083,13
Medium,2018,Academic,2015,"['attention', 'threat', 'bias', 'task', 'training', 'stimulus', 'anxious', 'abm', 'fear', 'extinction']",9,"['response', 'system', 'fight', 'release', 'event', 'training', 'threat', 'program', 'boss', 'respond']",0.712324202060699,37
Medium,2015,Academic,2015,"['effect', 'gene', 'model', 'adversity', 'stress', 'mean', 'moderate', 'functional_impairment', 'evidence', 'polymorphism']",10,"['condition', 'symptom', 'perspective', 'irrational', 'intrusive_thought', 'sex', 'physical', 'result', 'sufferer', 'behaviour']",0.702203154563904,0
Medium,2020,Academic,2015,"['intervention', 'depression', 'self', 'internet', 'emotional', 'parenting', 'ci', 'compare', 'incidence', 'evaluation']",11,"['psychological', 'journal', 'interaction', 'belief', 'clinical', 'analyze', 'transform', 'subconscious', 'perception', 'psychology']",0.724191188812256,12
Medium,2018,Academic,2015,"['parental', 'panic', 'fear', 'sensitivity', 'response', 'behavioral', 'psychopathology', 'startle', 'relate', 'measure']",12,"['emotion', 'pain', 'emotional', 'suffer', 'hurt', 'soul', 'heal', 'physical', 'relationship', 'push']",0.749474346637726,27
Medium,2018,Academic,2015,"['predict', 'function', 'youth', 'stress', 'outcome', 'event', 'follow', 'model', 'level', 'high']",13,"['goal', 'business', 'plan', 'money', 'energy', 'success', 'achieve', 'guilt', 'fail', 'failure']",0.697120726108551,21
Medium,2018,Academic,2015,"['adhd', 'degree', 'effect', 'clinical', 'patient', 'dimensional', 'day', 'group', 'hyperactivity', 'test']",14,"['symptom', 'social', 'disorder', 'treatment', 'diagnose', 'patient', 'physical', 'medical', 'condition', 'therapy']",0.708544433116913,20
Medium,2017,Academic,2015,"['child', 'parent', 'genetic', 'report', 'family', 'problem', 'phobia', 'effect', 'caregiver', 'internalize']",15,"['child', 'woman', 'school', 'parent', 'kid', 'young', 'mother', 'student', 'class', 'mom']",0.749530732631683,15
Medium,2019,Academic,2015,"['patient', 'cannabis', 'clinical', 'non', 'relapse', 'people', 'use', 'follow', 'expression', 'quality']",16,"['therapy', 'mood', 'cancer', 'effective', 'vitamin', 'patient', 'light', 'function', 'direct', 'regulate']",0.736574649810791,13
Medium,2015,Academic,2015,"['stable', 'adolescent', 'program', 'effect', 'phenotype', 'internalize', 'weight', 'amp', 'include', 'youth']",17,"['kid', 'accomplish', 'spouse', 'goal', 'positive', 'negative', 'value', 'butterfly', 'appear', 'recall']",0.633289694786072,31
Medium,2018,Academic,2016,"['intervention', 'group', 'treatment', 'week', 'outcome', 'trial', 'session', 'participant', 'follow', 'month']",0,"['therapy', 'therapist', 'partner', 'issue', 'episode', 'chronic', 'psychiatrist', 'admit', 'date', 'relationship']",0.748267650604248,8
Medium,2019,Academic,2016,"['depression', 'mdd', 'treatment', 'factor', 'associate', 'psychological', 'pain', 'analysis', 'role', 'examine']",1,"['medication', 'symptom', 'health', 'drug', 'treatment', 'pain', 'gut', 'doctor', 'medicine', 'effect']",0.777486264705658,2
Medium,2018,Academic,2016,"['sensitivity', 'cognitive', 'psychometric_propertie', 'subject', 'stability', 'sample', 'clinic', 'complete', 'gender', 'error']",2,"['solution', 'drug', 'diagnosis', 'user', 'state', 'address', 'treat', 'human', 'system', 'significant']",0.633082985877991,38
Medium,2018,Academic,2016,"['social', 'sad', 'cognitive', 'impairment', 'neural', 'response', 'processing', 'subjective', 'affective', 'gene']",3,"['emotion', 'pain', 'emotional', 'suffer', 'hurt', 'soul', 'heal', 'physical', 'relationship', 'push']",0.767602443695068,27
Medium,2014,Academic,2016,"['scale', 'factor', 'measure', 'sample', 'questionnaire', 'item', 'structure', 'assess', 'reliability', 'validity']",4,"['memory', 'late', 'confidence', 'audience', 'check', 'result', 'perhaps', 'likely', 'angry', 'music']",0.607917368412018,9
Medium,2018,Academic,2016,"['network', 'system', 'user', 'support', 'provide', 'schizophrenia', 'meta', 'individual', 'positive', 'drug']",5,"['solution', 'drug', 'diagnosis', 'user', 'state', 'address', 'treat', 'human', 'system', 'significant']",0.729611694812775,38
Medium,2018,Academic,2016,"['panic', 'inventory', 'beck', 'late', 'pd', 'ad', 'revise', 'stigma', 'clinician', 'assessment']",6,"['mental', 'mental_health', 'mental_illness', 'recovery', 'alcohol', 'illness', 'stigma', 'management', 'issue', 'health']",0.645953297615051,13
Medium,2017,Academic,2016,"['depression', 'mental', 'health', 'risk', 'age', 'year', 'association', 'factor', 'use', 'method']",7,"['mental_health', 'health', 'medication', 'issue', 'support', 'mental_illness', 'illness', 'drug', 'mental', 'seek']",0.765791535377502,23
Medium,2012,Academic,2016,"['exposure', 'ocd', 'expose', 'drive', 'fear', 'violence', 'adult', 'response', 'desire', 'presentation']",8,"['symptom', 'physical', 'emotional', 'aqui', 'ansiedad', 'controlar', 'occur', 'nervousness', 'fearful', 'response']",0.614574551582336,2
Medium,2015,Academic,2016,"['model', 'attachment', 'memory', 'induce', 'test', 'state', 'effect', 'contrast', 'ms', 'impair']",9,"['condition', 'symptom', 'perspective', 'irrational', 'intrusive_thought', 'sex', 'physical', 'result', 'sufferer', 'behaviour']",0.629436492919922,0
Medium,2018,Academic,2016,"['treatment', 'child', 'therapy', 'outcome', 'parent', 'follow', 'symptom', 'post', 'trauma', 'year']",10,"['symptom', 'social', 'disorder', 'treatment', 'diagnose', 'patient', 'physical', 'medical', 'condition', 'therapy']",0.76871520280838,20
